id|cover|images|name|location|category|price|type|leilao|description|discountPercent
110|https://imagens.portalzuk.com.br/mini/2026/02/bf68656ed7735a7922f5b9d6e9f09d23.webp|https://imagens.portalzuk.com.br/mini/2026/02/bf68656ed7735a7922f5b9d6e9f09d23.webp;https://imagens.portalzuk.com.br/mini/2026/02/bf68656ed7735a7922f5b9d6e9f09d23.webp|Rua Saldanha da Gama,  853|"Rua Saldanha da Gama, 853 Apartamentos e Flats em leilão - Rua Saldanha da Gama, 853 - Porto Alegre/RS - Associação de Poupança e Empréstimo - POUPEX | Z35525"|Venda|"R$
                      196.000,00"|Apartamento||"Apartamentos e Flats em leilão - Rua Saldanha da Gama, 853 - Porto Alegre/RS - Associação de Poupança e Empréstimo - POUPEX | Z35525"|
111|https://imagens.portalzuk.com.br/mini/2026/02/4fdc7e5fa4cb610a8adf1281487c6f94.webp|https://imagens.portalzuk.com.br/mini/2026/02/4fdc7e5fa4cb610a8adf1281487c6f94.webp;https://imagens.portalzuk.com.br/mini/2026/02/4fdc7e5fa4cb610a8adf1281487c6f94.webp|Rua São Marcos,  335|"Rua São Marcos, 335 Casa em leilão - Rua São Marcos, 335 - Porto Alegre/RS - Associação de Poupança e Empréstimo - POUPEX | Z35525"|Venda|"R$
                      639.000,00"|Casa||"Casa em leilão - Rua São Marcos, 335 - Porto Alegre/RS - Associação de Poupança e Empréstimo - POUPEX | Z35525"|
112|https://imagens.portalzuk.com.br/mini/2025/04/f3b88bc73662972e3942938265ddec4a.webp|https://imagens.portalzuk.com.br/mini/2025/04/f3b88bc73662972e3942938265ddec4a.webp;https://imagens.portalzuk.com.br/mini/2025/04/f3b88bc73662972e3942938265ddec4a.webp|Avenida Pinto Bandeira,  471/475|"Avenida Pinto Bandeira, 471/475 Imóveis - Comerciais em leilão - Avenida Pinto Bandeira, 471/475 - Porto Alegre/RS - Porto Seguro Companhia de Seguros Gerais | Z33140"|Venda|Aberto para proposta|Desconhecido||"Imóveis - Comerciais em leilão - Avenida Pinto Bandeira, 471/475 - Porto Alegre/RS - Porto Seguro Companhia de Seguros Gerais | Z33140"|
113|https://imagens.portalzuk.com.br/mini/2026/01/e5e187120190e1d0c0fb5747fec459dd.webp|https://imagens.portalzuk.com.br/mini/2026/01/e5e187120190e1d0c0fb5747fec459dd.webp;https://imagens.portalzuk.com.br/mini/2026/01/e5e187120190e1d0c0fb5747fec459dd.webp|Avenida Praia de Belas,  2050|"Avenida Praia de Belas, 2050 Apartamentos e Flats em leilão - Avenida Praia de Belas, 2050 - Porto Alegre/RS - Itaú Unibanco S/A | Z35378"|Venda|"R$
          453.381,50"|Apartamento||"Apartamentos e Flats em leilão - Avenida Praia de Belas, 2050 - Porto Alegre/RS - Itaú Unibanco S/A  | Z35378"|
114|https://imagens.portalzuk.com.br/mini/2026/01/a4fa0aa21b3d46451245006501abe883.webp|https://imagens.portalzuk.com.br/mini/2026/01/a4fa0aa21b3d46451245006501abe883.webp;https://imagens.portalzuk.com.br/mini/2026/01/a4fa0aa21b3d46451245006501abe883.webp|Rua Napoleão Jacques da Rosa,  133|"Rua Napoleão Jacques da Rosa, 133 Apartamentos e Flats em leilão - Rua Napoleão Jacques da Rosa, 133 - Porto Alegre/RS - Itaú Unibanco S/A | Z35378"|Venda|"R$
          98.956,00"|Apartamento||"Apartamentos e Flats em leilão - Rua Napoleão Jacques da Rosa, 133 - Porto Alegre/RS - Itaú Unibanco S/A  | Z35378"|
115|https://imagens.portalzuk.com.br/mini/2026/01/497b6a9aed353554d3b0c972de3e5fa6.webp|https://imagens.portalzuk.com.br/mini/2026/01/497b6a9aed353554d3b0c972de3e5fa6.webp;https://imagens.portalzuk.com.br/mini/2026/01/497b6a9aed353554d3b0c972de3e5fa6.webp|Rua Gabriel Franco da Luz,  242|"Rua Gabriel Franco da Luz, 242 Apartamentos e Flats em leilão - Rua Gabriel Franco da Luz, 242 - Porto Alegre/RS - Itaú Unibanco S/A | Z35378"|Venda|"R$
          101.959,00"|Apartamento||"Apartamentos e Flats em leilão - Rua Gabriel Franco da Luz, 242 - Porto Alegre/RS - Itaú Unibanco S/A  | Z35378"|
116|https://imagens.portalzuk.com.br/mini/2026/01/79f59a28f01f5d4be657e843c3f4599c.webp|https://imagens.portalzuk.com.br/mini/2026/01/79f59a28f01f5d4be657e843c3f4599c.webp;https://imagens.portalzuk.com.br/mini/2026/01/79f59a28f01f5d4be657e843c3f4599c.webp|Rua dos Andradas,  1814|"Rua dos Andradas, 1814 Apartamentos e Flats em leilão - Rua dos Andradas, 1814 - Porto Alegre/RS - Itaú Unibanco S/A | Z35378"|Venda|"R$
          177.127,50"|Apartamento||"Apartamentos e Flats em leilão - Rua dos Andradas, 1814 - Porto Alegre/RS - Itaú Unibanco S/A  | Z35378"|
117|https://imagens.portalzuk.com.br/mini/2026/01/0813ae4f18d616f626a40387ad1f219c.webp|https://imagens.portalzuk.com.br/mini/2026/01/0813ae4f18d616f626a40387ad1f219c.webp;https://imagens.portalzuk.com.br/mini/2026/01/0813ae4f18d616f626a40387ad1f219c.webp|Rua Orfanotrófio,  1111|"Rua Orfanotrófio, 1111 Apartamentos e Flats em leilão - Rua Orfanotrófio, 1111 - Porto Alegre/RS - Itaú Unibanco S/A | Z35378"|Venda|"R$
          140.580,00"|Apartamento||"Apartamentos e Flats em leilão - Rua Orfanotrófio, 1111 - Porto Alegre/RS - Itaú Unibanco S/A  | Z35378"|
118|https://imagens.portalzuk.com.br/mini/2026/01/c0330d808777f1e888a32e35f908664d.webp|https://imagens.portalzuk.com.br/mini/2026/01/c0330d808777f1e888a32e35f908664d.webp;https://imagens.portalzuk.com.br/mini/2026/01/c0330d808777f1e888a32e35f908664d.webp|Avenida Polônia,  375|"Avenida Polônia, 375 Apartamentos e Flats em leilão - Avenida Polônia, 375 - Porto Alegre/RS - Itaú Unibanco S/A | Z35378"|Venda|"R$
          327.360,00"|Apartamento||"Apartamentos e Flats em leilão - Avenida Polônia, 375 - Porto Alegre/RS - Itaú Unibanco S/A  | Z35378"|
119|https://imagens.portalzuk.com.br/mini/2026/02/46451ae110ed82ab308adeac2a6686b1.webp|https://imagens.portalzuk.com.br/mini/2026/02/46451ae110ed82ab308adeac2a6686b1.webp;https://imagens.portalzuk.com.br/mini/2026/02/46451ae110ed82ab308adeac2a6686b1.webp|Rua Voluntários da Pátria,  700|"Rua Voluntários da Pátria, 700 Apartamentos e Flats em leilão - Rua Voluntários da Pátria, 700 - Porto Alegre/RS - Outros Comitentes | Z35567"|Venda|"R$
                      20.000,00"|Apartamento||"Apartamentos e Flats em leilão - Rua Voluntários da Pátria, 700 - Porto Alegre/RS - Outros Comitentes | Z35567"|
