id|cover|images|name|location|category|price|type|leilao|description|discountPercent|avaliationPrice|original_url|modalidade de venda|UF|city|neighborhood|area
10275553|https://venda-imoveis.caixa.gov.br/fotos/F1027555321.jpg|https://venda-imoveis.caixa.gov.br/fotos/F1027555321.jpg;https://venda-imoveis.caixa.gov.br/fotos/F1027555322.jpg;https://venda-imoveis.caixa.gov.br/fotos/F1027555323.jpg|RUA ARCÂNGELO FORNARI, N. 00, QD 239, LT 03|RUA ARCÂNGELO FORNARI, N. 00, QD 239, LT 03, CENTRO, ARVOREZINHA - RS|Venda|R$ 998.671,51|Gleba Urbana||Gleba Urbana, 0.00 de área total, 0.00 de área privativa, 4725.00 de área do terreno.|36.27|R$ 1.567.000,00|https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10275553|Licitação Aberta|RS|ARVOREZINHA|CENTRO|4725.00 m²
10176581|https://venda-imoveis.caixa.gov.br/fotos/F1017658121.jpg|https://venda-imoveis.caixa.gov.br/fotos/F1017658121.jpg;https://venda-imoveis.caixa.gov.br/fotos/F1017658122.jpg;https://venda-imoveis.caixa.gov.br/fotos/F1017658123.jpg|RUA FABRICIO PILAR, N. 486, QD 01, LT 07|RUA FABRICIO PILAR, N. 486, QD 01, LT 07, CENTRO, BAGE - RS|Venda|R$ 38.985,83|Casa||Casa, 0.00 de área total, 48.00 de área privativa, 300.00 de área do terreno.|71.13|R$ 135.000,00|https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10176581|Venda Direta Online|RS|BAGE|CENTRO|48.00 m²
10143308|https://venda-imoveis.caixa.gov.br/fotos/F1014330821.jpg|https://venda-imoveis.caixa.gov.br/fotos/F1014330821.jpg;https://venda-imoveis.caixa.gov.br/fotos/F1014330822.jpg;https://venda-imoveis.caixa.gov.br/fotos/F1014330823.jpg|RUA JOSE LUIZ MACHADO, N. S/N, QD 64 PARTE DOS LTS 11 E 12|RUA JOSE LUIZ MACHADO, N. S/N, QD 64 PARTE DOS LTS 11 E 12, INDUSTRIAL I, BAGE - RS|Venda|R$ 33.071,27|Casa||Casa, 0.00 de área total, 54.00 de área privativa, 300.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.|51.37|R$ 68.000,00|https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10143308|Venda Direta Online|RS|BAGE|INDUSTRIAL I|54.00 m²
10163893|https://venda-imoveis.caixa.gov.br/fotos/F1016389321.jpg|https://venda-imoveis.caixa.gov.br/fotos/F1016389321.jpg;https://venda-imoveis.caixa.gov.br/fotos/F1016389322.jpg;https://venda-imoveis.caixa.gov.br/fotos/F1016389323.jpg|RUA PROFESSORA ANGELICA JARDIM, N. 46, USO MISTO, LT 27, QD 28|RUA PROFESSORA ANGELICA JARDIM, N. 46, USO MISTO, LT 27, QD 28, CASTRO ALVES, BAGE - RS|Venda|R$ 415.141,74|Galpão||Galpão, 0.00 de área total, 327.56 de área privativa, 500.00 de área do terreno.|47.46|R$ 790.000,00|https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10163893|Venda Direta Online|RS|BAGE|CASTRO ALVES|327.56 m²
8444419743724|https://venda-imoveis.caixa.gov.br/fotos/F844441974372421.jpg|https://venda-imoveis.caixa.gov.br/fotos/F844441974372421.jpg;https://venda-imoveis.caixa.gov.br/fotos/F844441974372422.jpg;https://venda-imoveis.caixa.gov.br/fotos/F844441974372423.jpg|RUA A, N. 263, LT 06 QD 04|RUA A, N. 263, LT 06 QD 04, São Bernardo, BAGE - RS|Venda|R$ 52.681,52|Casa||Casa, 42.58 de área total, 42.58 de área privativa, 200.45 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.|42.11|R$ 91.000,00|https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444419743724|Licitação Aberta|RS|BAGE|São Bernardo|42.58 m²
8787707237096|https://venda-imoveis.caixa.gov.br/fotos/F878770723709621.jpg|https://venda-imoveis.caixa.gov.br/fotos/F878770723709621.jpg;https://venda-imoveis.caixa.gov.br/fotos/F878770723709622.jpg;https://venda-imoveis.caixa.gov.br/fotos/F878770723709623.jpg|RUA CLELIA GOMES ARAUJO, N. 235, Apto 301, TORRE G|RUA CLELIA GOMES ARAUJO, N. 235, Apto 301, TORRE G, INDUSTRIAL I, BAGE - RS|Venda|R$ 89.575,84|Apartamento||Apartamento, 66.72 de área total, 45.51 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.|41.46|R$ 153.000,00|https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787707237096|Licitação Aberta|RS|BAGE|INDUSTRIAL I|45.51 m²
8787705457390|https://venda-imoveis.caixa.gov.br/fotos/F878770545739021.jpg|https://venda-imoveis.caixa.gov.br/fotos/F878770545739021.jpg;https://venda-imoveis.caixa.gov.br/fotos/F878770545739022.jpg;https://venda-imoveis.caixa.gov.br/fotos/F878770545739023.jpg|AVENIDA SANTA TECLA, N. 1475, Apto 103, TORRE L TÉRREO VG 92|AVENIDA SANTA TECLA, N. 1475, Apto 103, TORRE L TÉRREO VG 92, GETULIO VARGAS, BAGE - RS|Venda|R$ 94.815,14|Apartamento||Apartamento, 64.18 de área total, 45.20 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.|40.75|R$ 160.000,00|https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787705457390|Venda Direta Online|RS|BAGE|GETULIO VARGAS|45.20 m²
8444420905260|https://venda-imoveis.caixa.gov.br/fotos/F844442090526021.jpg|https://venda-imoveis.caixa.gov.br/fotos/F844442090526021.jpg;https://venda-imoveis.caixa.gov.br/fotos/F844442090526022.jpg;https://venda-imoveis.caixa.gov.br/fotos/F844442090526023.jpg|AVENIDA SÃO JUDAS TADEU, N. 595, Apto 424, BL B 03 PAV 04|AVENIDA SÃO JUDAS TADEU, N. 595, Apto 424, BL B 03 PAV 04, SAO JUDAS, BAGE - RS|Venda|R$ 68.797,93|Apartamento||Apartamento, 42.51 de área total, 39.06 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.|40.18|R$ 115.000,00|https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444420905260|Venda Direta Online|RS|BAGE|SAO JUDAS|39.06 m²
8787713867519|https://venda-imoveis.caixa.gov.br/fotos/F878771386751921.jpg|https://venda-imoveis.caixa.gov.br/fotos/F878771386751921.jpg;https://venda-imoveis.caixa.gov.br/fotos/F878771386751922.jpg;https://venda-imoveis.caixa.gov.br/fotos/F878771386751923.jpg|RUA ORSAY DA ROSA AZAMBUJA, N. 855, Apto 402, TORRE F|RUA ORSAY DA ROSA AZAMBUJA, N. 855, Apto 402, TORRE F, INDUSTRIAL I, BAGE - RS|Venda|R$ 163.000,00|Apartamento||Apartamento, 65.00 de área total, 55.16 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.|0.0|R$ 163.000,00|https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787713867519|Leilão SFI - Edital Único|RS|BAGE|INDUSTRIAL I|55.16 m²
10222098|https://venda-imoveis.caixa.gov.br/fotos/F1022209821.jpg|https://venda-imoveis.caixa.gov.br/fotos/F1022209821.jpg;https://venda-imoveis.caixa.gov.br/fotos/F1022209822.jpg;https://venda-imoveis.caixa.gov.br/fotos/F1022209823.jpg|RUA BUARQUE DE MACEDO, N. SN, LT 03|RUA BUARQUE DE MACEDO, N. SN, LT 03, CENTRO, BARAO - RS|Venda|R$ 608.635,16|Terreno||Terreno, 0.00 de área total, 0.00 de área privativa, 4548.35 de área do terreno.|36.27|R$ 955.000,00|https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10222098|Licitação Aberta|RS|BARAO|CENTRO|4548.35 m²
